example_id                                                   | status  | run_time        |
./spec/routing/claims_routing_spec.rb[1:1:5]                 | passed  | 0.00137 seconds |
./spec/routing/claims_routing_spec.rb[1:1:6]                 | passed  | 0.00102 seconds |
./spec/routing/clients_routing_spec.rb[1:1:1]                | passed  | 0.001 seconds   |
./spec/routing/clients_routing_spec.rb[1:1:2]                | passed  | 0.00099 seconds |
./spec/routing/clients_routing_spec.rb[1:1:3]                | passed  | 0.00095 seconds |
./spec/routing/clients_routing_spec.rb[1:1:4]                | passed  | 0.00097 seconds |
./spec/routing/clients_routing_spec.rb[1:1:5]                | passed  | 0.001 seconds   |
./spec/routing/clients_routing_spec.rb[1:1:6]                | passed  | 0.00112 seconds |
./spec/routing/discounts_routing_spec.rb[1:1:1]              | passed  | 0.00101 seconds |
./spec/routing/discounts_routing_spec.rb[1:1:2]              | passed  | 0.00101 seconds |
./spec/routing/discounts_routing_spec.rb[1:1:3]              | passed  | 0.0009 seconds  |
./spec/routing/discounts_routing_spec.rb[1:1:4]              | passed  | 0.00096 seconds |
./spec/routing/discounts_routing_spec.rb[1:1:5]              | passed  | 0.0009 seconds  |
./spec/routing/discounts_routing_spec.rb[1:1:6]              | passed  | 0.00118 seconds |
./spec/routing/orders_routing_spec.rb[1:1:1]                 | passed  | 0.00144 seconds |
./spec/routing/orders_routing_spec.rb[1:1:2]                 | passed  | 0.00124 seconds |
./spec/routing/orders_routing_spec.rb[1:1:3]                 | passed  | 0.00103 seconds |
./spec/routing/orders_routing_spec.rb[1:1:4]                 | passed  | 0.00098 seconds |
./spec/routing/orders_routing_spec.rb[1:1:5]                 | passed  | 0.00122 seconds |
./spec/routing/orders_routing_spec.rb[1:1:6]                 | passed  | 0.00127 seconds |
./spec/routing/price_lists_routing_spec.rb[1:1:1]            | passed  | 0.00102 seconds |
./spec/routing/price_lists_routing_spec.rb[1:1:2]            | passed  | 0.00109 seconds |
./spec/routing/price_lists_routing_spec.rb[1:1:3]            | passed  | 0.00126 seconds |
./spec/routing/price_lists_routing_spec.rb[1:1:4]            | passed  | 0.00106 seconds |
./spec/routing/price_lists_routing_spec.rb[1:1:5]            | passed  | 0.00121 seconds |
./spec/routing/price_lists_routing_spec.rb[1:1:6]            | passed  | 0.00111 seconds |
./spec/routing/products_routing_spec.rb[1:1:1]               | passed  | 0.00096 seconds |
./spec/routing/products_routing_spec.rb[1:1:2]               | passed  | 0.00124 seconds |
./spec/routing/products_routing_spec.rb[1:1:3]               | passed  | 0.00107 seconds |
./spec/routing/products_routing_spec.rb[1:1:4]               | passed  | 0.00105 seconds |
./spec/routing/products_routing_spec.rb[1:1:5]               | passed  | 0.00106 seconds |
./spec/routing/products_routing_spec.rb[1:1:6]               | passed  | 0.00105 seconds |
